Goal ( 0.13 , 0.13 ) Distance 0.183847763109
Goal ( 0.06498079494899746 , 0.676521013793 ) Distance 0.679634597277 Score 0.0
Goal ( 0.1174959008724645 , 0.598320185165 ) Distance 0.609747759895 Score 0.0
Goal ( 0.43900322453343565 , 0.444756918523 ) Distance 0.624926033803 Score 0.0
Goal ( 0.3558414905019439 , 0.373639525629 ) Distance 0.515974477542 Score 0.0245702132163
Goal ( 0.2785642197459425 , 0.64136370318 ) Distance 0.699246325896 Score 0.0
Goal ( 0.1174959008724645 , 0.598320185165 ) Distance 0.609747759895 Score 0.00586295922976
Goal ( 0.4977685608675213 , 0.238484960925 ) Distance 0.551949831756 Score 0.0
Goal ( 0.2869281568271014 , 0.496162338087 ) Distance 0.573153411327 Score 0.0121947534325
Goal ( 0.05510781786088767 , 0.550374468029 ) Distance 0.553126501488 Score 0.0307292500826
Goal ( 0.6580297189048242 , 0.211048774262 ) Distance 0.691046088245 Score 0.0
Goal ( 0.14839701506712435 , 0.54530214379 ) Distance 0.565133702856 Score 0.0
Goal ( 0.07216175677214103 , 0.599940218858 ) Distance 0.60426449949 Score 0.00678948875831
Goal ( 0.2534664764019516 , 0.435500412031 ) Distance 0.503890725792 Score 0.0265205645154
Goal ( 0.04876862323549486 , 0.630131254448 ) Distance 0.632015645728 Score 0.0
Goal ( 0.19791607816660436 , 0.607740067194 ) Distance 0.63915472561 Score 0.0
Goal ( 0.3558414905019439 , 0.373639525629 ) Distance 0.515974477542 Score 0.0
Goal ( 0.1551324305279102 , 0.476811278838 ) Distance 0.501413069863 Score 0.501413069863
Goal ( 0.42429028384974 , 0.544177278955 ) Distance 0.690037068497 Score 0.0
Goal ( 0.49603366652581105 , 0.394377474754 ) Distance 0.633705760523 Score 0.0
Goal ( 0.11091177733304534 , 0.591977814632 ) Distance 0.602278303916 Score 0.00180322845484
Goal ( 0.5846826802292856 , 0.159316427285 ) Distance 0.605999637428 Score 0.0112222155079
Goal ( 0.280350723246491 , 0.479488957086 ) Distance 0.555433333526 Score 0.0
Goal ( 0.07216175677214103 , 0.599940218858 ) Distance 0.60426449949 Score 0.0
Goal ( 0.269653641339103 , 0.51317319707 ) Distance 0.579706664166 Score 0.0
Goal ( 0.104769 , 0.17027 ) Distance 0.199921 Score 0.199920833111
Goal ( 0.0210773 , 0.00670884 ) Distance 0.0221193 Score 0.0221192929894
Goal ( 0.181161 , 0.262885 ) Distance 0.319261 Score 0.31926125288
Goal ( 0.1762 , 0.112631 ) Distance 0.209122 Score 0.20912232995
Goal ( 0.119667 , 0.0 ) Distance 0.119667 Score 0.119667202234
Goal ( 0.0 , 0.231483 ) Distance 0.231483 Score 0.231483012438
Goal ( 0.0 , 0.309684 ) Distance 0.309684 Score 0.309684216976
Goal ( 0.150457 , 0.0 ) Distance 0.150457 Score 0.150456801057
Goal ( 0.300529 , 0.346042 ) Distance 0.458326 Score 0.458326160908
Goal ( 0.195548 , 0.0643965 ) Distance 0.205879 Score 0.205878645182
Goal ( 0.0524672 , 0.226766 ) Distance 0.232757 Score 0.232757017016
Goal ( 0.0 , 0.18243 ) Distance 0.18243 Score 0.182430386543
Goal ( 0.0 , 0.0 ) Distance 0.0 Score 0.0
Goal ( 0.0902744 , 0.154764 ) Distance 0.179168 Score 0.179168477654
Goal ( 0.0 , 0.523695 ) Distance 0.523695 Score 0.0
Goal ( 0.0 , 0.266845 ) Distance 0.266845 Score 0.266844570637
Goal ( 0.19728 , 0.204284 ) Distance 0.283992 Score 0.283991903067
Goal ( 0.0640278 , 0.264742 ) Distance 0.272374 Score 0.272374033928
Goal ( 0.081682 , 0.0 ) Distance 0.081682 Score 0.0816819816828
Goal ( 0.0292092 , 0.202371 ) Distance 0.204468 Score 0.204468265176
Goal ( 0.113138 , 0.171754 ) Distance 0.205669 Score 0.205668896437
Goal ( 0.26018 , 0.253387 ) Distance 0.363179 Score 0.363178521395
Goal ( 0.238442 , 0.0 ) Distance 0.238442 Score 0.238441601396
Goal ( 0.0 , 0.139252 ) Distance 0.139252 Score 0.139252379537
Goal ( 0.0500084 , 0.402642 ) Distance 0.405736 Score 0.40573579073
Goal ( 0.117877 , 0.00370478 ) Distance 0.117935 Score 0.117935433984
Goal ( 0.0380643 , 0.244647 ) Distance 0.24759 Score 0.247590243816
Goal ( 0.0599866 , 0.148524 ) Distance 0.16018 Score 0.160180151463
Goal ( 0.13246 , 0.201898 ) Distance 0.241471 Score 0.241470918059
Goal ( 0.110467 , 0.161152 ) Distance 0.195379 Score 0.195379242301
Goal ( 0.0 , 0.279588 ) Distance 0.279588 Score 0.279588133097
Goal ( 0.2356 , 0.0 ) Distance 0.2356 Score 0.235599637032
Goal ( 0.0634991 , 0.234016 ) Distance 0.242478 Score 0.242478132248
Goal ( 0.0810934 , 0.262984 ) Distance 0.275203 Score 0.27520275116
Goal ( 0.0 , 0.169077 ) Distance 0.169077 Score 0.169077113271
Goal ( 0.0 , 0.16278 ) Distance 0.16278 Score 0.162780106068
Goal ( 0.245867 , 0.138513 ) Distance 0.282199 Score 0.282198965549
Goal ( 0.147232 , 0.197984 ) Distance 0.246728 Score 0.246728166938
Goal ( 0.0189031 , 0.220041 ) Distance 0.220851 Score 0.220851421356
Goal ( 0.0 , 0.228681 ) Distance 0.228681 Score 0.228681012988
Goal ( 0.0515251 , 0.0 ) Distance 0.0515251 Score 0.051525067538
Goal ( 0.0 , 0.254598 ) Distance 0.254598 Score 0.254598259926
Goal ( 0.126281 , 0.298862 ) Distance 0.324447 Score 0.324446648359
Goal ( 0.0 , 0.188087 ) Distance 0.188087 Score 0.188087254763
Goal ( 0.293221 , 0.260983 ) Distance 0.392544 Score 0.392543762922
Goal ( 0.0920063 , 0.0 ) Distance 0.0920063 Score 0.0920063257217
Goal ( 0.0 , 0.382464 ) Distance 0.382464 Score 0.382464081049
Goal ( 0.0446707 , 0.141825 ) Distance 0.148693 Score 0.148693442345
Goal ( 0.0 , 0.0 ) Distance 0.0 Score 0.0
Goal ( 0.113332 , 0.252898 ) Distance 0.277131 Score 0.277131348848
Goal ( 0.0859591 , 0.0 ) Distance 0.0859591 Score 0.0859591439366
Goal ( 0.178722 , 0.0 ) Distance 0.178722 Score 0.178722366691
Goal ( 0.0542005 , 0.273197 ) Distance 0.278522 Score 0.278521567583
Goal ( 0.0632379 , 0.0117218 ) Distance 0.0643151 Score 0.0643150806427
Goal ( 0.0 , 0.414504 ) Distance 0.414504 Score 0.414504230022
Goal ( 0.253297 , 0.0238138 ) Distance 0.254414 Score 0.254414349794
Goal ( 0.0 , 0.159262 ) Distance 0.159262 Score 0.159262448549
Goal ( 0.085842 , 0.0438552 ) Distance 0.0963957 Score 0.0963957309723
Goal ( 0.124611 , 0.0808879 ) Distance 0.148562 Score 0.14856249094
Goal ( 0.153422 , 0.204167 ) Distance 0.255387 Score 0.255386680365
Goal ( 0.0 , 0.217051 ) Distance 0.217051 Score 0.217050626874
Goal ( 0.0 , 0.478265 ) Distance 0.478265 Score 0.478264659643
Goal ( 0.138589 , 0.12215 ) Distance 0.184736 Score 0.184736087918
Goal ( 0.0564376 , 0.135265 ) Distance 0.146567 Score 0.146567061543
Goal ( 0.11487 , 0.0566791 ) Distance 0.128092 Score 0.128092482686
Goal ( 0.108777 , 0.110799 ) Distance 0.15527 Score 0.155270278454
Goal ( 0.140480772862755 , 0.520946229023 ) Distance 0.539555206701 Score 0.0
Goal ( 0.14763027445893911 , 0.652816109022 ) Distance 0.669300806914 Score 0.0
